X,Y,Z
155.37975873553614,0.0,925.0411507469744
143.55217886230366,59.46125939297451,925.0411507469744
109.8700810610273,109.87008106102729,925.0411507469744
59.461259392974526,143.55217886230366,925.0411507469744
9.514266209388116e-15,155.37975873553614,925.0411507469744
-59.461259392974505,143.55217886230366,925.0411507469744
-109.87008106102729,109.8700810610273,925.0411507469744
-143.55217886230366,59.46125939297453,925.0411507469744
-155.37975873553614,1.9028532418776232e-14,925.0411507469744
-143.55217886230366,-59.4612593929745,925.0411507469744
-109.87008106102732,-109.87008106102729,925.0411507469744
-59.46125939297447,-143.55217886230366,925.0411507469744
-2.8542798628164346e-14,-155.37975873553614,925.0411507469744
59.46125939297455,-143.55217886230363,925.0411507469744
109.87008106102728,-109.87008106102732,925.0411507469744
143.55217886230366,-59.461259392974476,925.0411507469744
207.3494979081226,0.0,914.7951605235182
198.9504234005996,58.41697793854704,914.7951605235182
174.4334442857222,112.10168507819313,914.7951605235182
135.7850692469878,156.70427324212085,914.7951605235182
86.13624400103882,188.61166918338864,914.7951605235182
29.50884513182281,205.238988356834,914.7951605235182
-29.50884513182279,205.238988356834,914.7951605235182
-86.13459805044151,188.61242085673842,914.7951605235182
-135.78479574622892,156.70451023153555,914.7951605235182
-174.43403124638158,112.10077174527797,914.7951605235182
-198.95001556830965,58.41836687309806,914.7951605235182
-207.3494979081226,2.5392989891799315e-14,914.7951605235182
-198.95001556830965,-58.4183668730981,914.7951605235182
-174.43403124638155,-112.100771745278,914.7951605235182
-135.784795746229,-156.70451023153547,914.7951605235182
-86.13459805044147,-188.61242085673842,914.7951605235182
-29.509561550863214,-205.23888535028237,914.7951605235182
29.50956155086314,-205.2388853502824,914.7951605235182
86.13459805044157,-188.6124208567384,914.7951605235182
135.78479574622898,-156.70451023153552,914.7951605235182
174.43403124638147,-112.10077174527814,914.7951605235182
198.9500155683096,-58.418366873098265,914.7951605235182
258.264561068596,0.0,901.7446514928965
251.78937230000537,57.469082998807586,901.7446514928965
232.68830126585237,112.05685145481496,901.7446514928965
