mape_scores_,mape_scores_std,scores_,scores_std,val_scores_,val_scores_std,n_estimators_,n_estimators_std,max_depth
0.8628246031705361,0.017066971407846104,0.05581214386062069,0.00010826303353056299,0.05577872992626977,4.436344206015111e-05,654.8,73.64074958879765,5
0.8560934706172763,0.017743584288939834,0.055660153758134476,0.000100299110895045,0.05563219224914882,2.764399816823622e-05,487.7,41.95962344921603,6
0.8548465371212733,0.01723942329038914,0.05563816279620569,9.691352842491235e-05,0.05559850171919991,3.4169605536600135e-05,352.2,47.89947807648847,7
0.8521484305846541,0.010251185519913646,0.05563873902194307,7.692234082233852e-05,0.0556151398625527,1.559634323976027e-05,250.0,23.6981011897578,8
0.8503064449315604,0.007511045757836477,0.055630107950091254,7.621083336332612e-05,0.055606326275036845,2.6066523652901566e-05,188.4,38.116138314367575,9
0.8496031924356553,0.007773190461778873,0.055611266035775556,7.972638736299983e-05,0.05560283024583199,1.7602659477472077e-05,150.1,15.122499793354272,10
0.849438905213089,0.007762099220391903,0.055634208286851373,8.257336584797584e-05,0.05561040151686909,2.4041153829006606e-05,136.5,12.595634164265013,11
0.849031142592277,0.005562179418129107,0.05567630301423828,9.015893419995013e-05,0.055654879855190374,1.892044027953457e-05,127.3,15.563097378092834,12
0.8495286724516878,0.004571084444978256,0.05571817381635279,7.986611020069087e-05,0.05571985996588895,2.6151072536107753e-05,122.2,8.109253973085318,13
0.8506181602592384,0.0036997572564049347,0.05580633164871557,8.248844238890145e-05,0.05578701296999866,2.9862172148466675e-05,116.0,3.8987177379235853,14
0.8524037807194429,0.00436159698105835,0.055880528727943725,7.880421017201107e-05,0.05586242884680798,2.8772133346121503e-05,114.5,5.220153254455275,15
0.8537173665356889,0.0037174765767084036,0.05596675999871189,8.21842205924367e-05,0.0559630148837302,2.5463858437420808e-05,112.7,5.622277118748239,16
0.8555053206799836,0.0037812911380807777,0.0560533551859979,0.00010540039125014769,0.0560740165366424,3.071068292777618e-05,109.3,3.7696153649941526,17
0.8575416607291922,0.0037550460850380627,0.05615036988024583,9.592589646948456e-05,0.05616810362727909,3.237668093790532e-05,109.0,3.4351128074635335,18
0.859374402412674,0.003912665912270605,0.05624853887640421,8.84311484391106e-05,0.056277455656036555,2.6299133642033807e-05,111.5,4.8218253804964775,19
